,id,username,year,overarching_category,num_solved
470,8603,nic-lovin,2016,Misc,15
471,8603,nic-lovin,2016,Pwn,16
472,8603,nic-lovin,2016,Rev,9
473,8603,nic-lovin,2016,Web,20
474,8603,nic-lovin,2017,Crypt,3
475,8603,nic-lovin,2017,Forensics,15
476,8603,nic-lovin,2017,Misc,11
477,8603,nic-lovin,2017,Pwn,13
478,8603,nic-lovin,2017,Rev,10
479,8603,nic-lovin,2017,Web,40
480,8603,nic-lovin,2018,Crypt,2
481,8603,nic-lovin,2018,Forensics,6
482,8603,nic-lovin,2018,Pwn,6
483,8603,nic-lovin,2018,Rev,12
484,8603,nic-lovin,2018,Web,10
485,8603,nic-lovin,2019,Crypt,1
486,8603,nic-lovin,2019,Forensics,4
487,8603,nic-lovin,2019,Pwn,3
488,8603,nic-lovin,2019,Rev,10
489,8603,nic-lovin,2019,Web,6
490,8603,nic-lovin,2020,Crypt,1
491,8603,nic-lovin,2020,Misc,1
492,8603,nic-lovin,2020,Pwn,7
493,8603,nic-lovin,2020,Rev,9
494,8603,nic-lovin,2020,Web,10
495,8603,nic-lovin,2021,Crypt,1
496,8603,nic-lovin,2022,Pwn,3
497,8603,nic-lovin,2022,Rev,1
498,8603,nic-lovin,2022,Special,5
499,8603,nic-lovin,2022,Web,1
500,8603,nic-lovin,2023,Special,2
501,8603,nic-lovin,2024,Forensics,1
502,8603,nic-lovin,2025,Special,1
503,10059,Sideni,2016,Crypt,2
504,10059,Sideni,2016,Forensics,7
505,10059,Sideni,2016,Web,46
506,10059,Sideni,2017,Crypt,8
507,10059,Sideni,2017,Forensics,13
508,10059,Sideni,2017,Misc,9
509,10059,Sideni,2017,Pwn,4
510,10059,Sideni,2017,Rev,7
511,10059,Sideni,2017,Web,9
512,10059,Sideni,2018,Crypt,5
513,10059,Sideni,2018,Forensics,14
514,10059,Sideni,2018,Misc,15
515,10059,Sideni,2018,Pwn,24
516,10059,Sideni,2018,Rev,1
517,10059,Sideni,2018,Web,17
518,10059,Sideni,2019,Forensics,21
519,10059,Sideni,2019,Misc,2
520,10059,Sideni,2019,Pwn,15
521,10059,Sideni,2019,Rev,19
522,10059,Sideni,2019,Web,10
523,10059,Sideni,2020,Crypt,2
524,10059,Sideni,2020,Pwn,3
525,10059,Sideni,2020,Rev,1
526,10059,Sideni,2020,Web,7
527,10059,Sideni,2021,Crypt,6
528,10059,Sideni,2021,Pwn,7
529,10059,Sideni,2021,Rev,14
530,10059,Sideni,2021,Web,2
531,10059,Sideni,2022,Crypt,4
532,10059,Sideni,2022,Pwn,14
533,10059,Sideni,2022,Rev,7
534,10059,Sideni,2022,Special,8
535,10059,Sideni,2022,Web,2
536,11566,allfro,2016,Forensics,3
537,11566,allfro,2016,Misc,9
538,11566,allfro,2016,Pwn,19
539,11566,allfro,2016,Web,39
540,11566,allfro,2017,Forensics,3
541,11566,allfro,2017,Pwn,2
542,11566,allfro,2017,Web,3
543,11566,allfro,2018,Crypt,13
544,11566,allfro,2018,Forensics,29
545,11566,allfro,2018,Misc,14
546,11566,allfro,2018,Pwn,15
547,11566,allfro,2018,Rev,14
548,11566,allfro,2018,Web,27
549,11566,allfro,2019,Forensics,8
550,11566,allfro,2019,Misc,2
551,11566,allfro,2019,Pwn,7
552,11566,allfro,2019,Rev,16
553,11566,allfro,2019,Web,10
554,11566,allfro,2020,Forensics,7
555,11566,allfro,2020,Misc,1
556,11566,allfro,2020,Pwn,7
557,11566,allfro,2020,Rev,3
558,11566,allfro,2020,Web,7
559,11566,allfro,2021,Rev,2
560,11566,allfro,2021,Web,1
561,11566,allfro,2022,Pwn,1
562,11566,allfro,2023,Misc,3
563,11566,allfro,2023,Special,4
564,11566,allfro,2024,Crypt,1
565,11566,allfro,2024,Special,2
566,11566,allfro,2025,Pwn,3
567,11566,allfro,2025,Rev,5
568,14785,sagefault,2017,Crypt,10
569,14785,sagefault,2017,Forensics,20
570,14785,sagefault,2017,Misc,5
571,14785,sagefault,2017,Web,34
572,14785,sagefault,2018,Crypt,11
573,14785,sagefault,2018,Forensics,28
574,14785,sagefault,2018,Misc,19
575,14785,sagefault,2018,Pwn,36
576,14785,sagefault,2018,Rev,38
577,14785,sagefault,2018,Web,17
578,14785,sagefault,2019,Crypt,10
579,14785,sagefault,2019,Forensics,7
580,14785,sagefault,2019,Misc,2
581,14785,sagefault,2019,Pwn,16
582,14785,sagefault,2019,Rev,17
583,14785,sagefault,2019,Web,32
584,14785,sagefault,2020,Crypt,3
585,14785,sagefault,2020,Forensics,1
586,14785,sagefault,2020,Pwn,5
587,14785,sagefault,2020,Rev,4
588,14785,sagefault,2020,Web,8
589,14785,sagefault,2021,Crypt,2
590,14785,sagefault,2021,Misc,4
591,14785,sagefault,2021,Pwn,5
592,14785,sagefault,2021,Rev,2
593,14785,sagefault,2021,Web,1
594,14785,sagefault,2022,Forensics,1
595,14785,sagefault,2022,Pwn,9
596,14785,sagefault,2022,Rev,1
597,14785,sagefault,2022,Special,8
598,14785,sagefault,2022,Web,2
599,14785,sagefault,2023,Special,32
600,14785,sagefault,2025,Special,1
601,15071,fob,2017,Crypt,9
602,15071,fob,2017,Forensics,31
